,Date,Total_Crimes
476,2002-04-25,1294
477,2002-04-26,1367
478,2002-04-27,1254
479,2002-04-28,1119
480,2002-04-29,1447
481,2002-04-30,1322
482,2002-05-01,1450
483,2002-05-02,1244
484,2002-05-03,1296
485,2002-05-04,1283
486,2002-05-05,1254
487,2002-05-06,1234
488,2002-05-07,1278
489,2002-05-08,1372
490,2002-05-09,1366
491,2002-05-10,1492
492,2002-05-11,1235
493,2002-05-12,1153
494,2002-05-13,1383
495,2002-05-14,1429
496,2002-05-15,1507
497,2002-05-16,1244
498,2002-05-17,1396
499,2002-05-18,1352
500,2002-05-19,1232
501,2002-05-20,1351
502,2002-05-21,1357
503,2002-05-22,1302
504,2002-05-23,1521
505,2002-05-24,1433
506,2002-05-25,1353
507,2002-05-26,1278
508,2002-05-27,1277
509,2002-05-28,1488
510,2002-05-29,1432
511,2002-05-30,1487
512,2002-05-31,1538
513,2002-06-01,1728
514,2002-06-02,1412
515,2002-06-03,1327
516,2002-06-04,1291
517,2002-06-05,1323
518,2002-06-06,1457
519,2002-06-07,1408
520,2002-06-08,1303
521,2002-06-09,1307
522,2002-06-10,1370
523,2002-06-11,1439
524,2002-06-12,1497
525,2002-06-13,1335
526,2002-06-14,1352
527,2002-06-15,1452
528,2002-06-16,1364
529,2002-06-17,1373
530,2002-06-18,1412
531,2002-06-19,1327
532,2002-06-20,1366
533,2002-06-21,1431
534,2002-06-22,1327
535,2002-06-23,1402
536,2002-06-24,1352
537,2002-06-25,1423
538,2002-06-26,1410
539,2002-06-27,1412
540,2002-06-28,1364
541,2002-06-29,1443
542,2002-06-30,1444
543,2002-07-01,1579
544,2002-07-02,1383
545,2002-07-03,1297
546,2002-07-04,1431
547,2002-07-05,1495
548,2002-07-06,1444
549,2002-07-07,1423
550,2002-07-08,1455
551,2002-07-09,1403
552,2002-07-10,1529
553,2002-07-11,1368
554,2002-07-12,1518
555,2002-07-13,1446
556,2002-07-14,1377
557,2002-07-15,1576
558,2002-07-16,1507
559,2002-07-17,1376
560,2002-07-18,1443
561,2002-07-19,1522
562,2002-07-20,1548
563,2002-07-21,1391
564,2002-07-22,1428
565,2002-07-23,1427
566,2002-07-24,1439
567,2002-07-25,1383
568,2002-07-26,1436
569,2002-07-27,1452
570,2002-07-28,1413
571,2002-07-29,1537
572,2002-07-30,1514
573,2002-07-31,1421
574,2002-08-01,1652
575,2002-08-02,1422
576,2002-08-03,1429
577,2002-08-04,1369
578,2002-08-05,1403
579,2002-08-06,1439
580,2002-08-07,1373
581,2002-08-08,1353
582,2002-08-09,1443
583,2002-08-10,1438
584,2002-08-11,1473
585,2002-08-12,1436
586,2002-08-13,1399
587,2002-08-14,1347
588,2002-08-15,1387
589,2002-08-16,1404
590,2002-08-17,1459
591,2002-08-18,1345
592,2002-08-19,1292
593,2002-08-20,1355
594,2002-08-21,1316
595,2002-08-22,1326
596,2002-08-23,1433
597,2002-08-24,1425
598,2002-08-25,1301
599,2002-08-26,1420
600,2002-08-27,1396
601,2002-08-28,1411
602,2002-08-29,1251
603,2002-08-30,1414
604,2002-08-31,1349
605,2002-09-01,1503
606,2002-09-02,1324
607,2002-09-03,1407
608,2002-09-04,1355
609,2002-09-05,1376
610,2002-09-06,1511
611,2002-09-07,1421
612,2002-09-08,1339
613,2002-09-09,1326
614,2002-09-10,1293
615,2002-09-11,1365
616,2002-09-12,1280
617,2002-09-13,1441
618,2002-09-14,1422
619,2002-09-15,1388
620,2002-09-16,1360
621,2002-09-17,1441
622,2002-09-18,1352
623,2002-09-19,1409
624,2002-09-20,1561
625,2002-09-21,1364
626,2002-09-22,1339
627,2002-09-23,1261
628,2002-09-24,1299
629,2002-09-25,1358
630,2002-09-26,1371
631,2002-09-27,1424
632,2002-09-28,1359
633,2002-09-29,1380
634,2002-09-30,1354
635,2002-10-01,1707
636,2002-10-02,1439
637,2002-10-03,1400
638,2002-10-04,1495
639,2002-10-05,1356
640,2002-10-06,1354
641,2002-10-07,1249
642,2002-10-08,1345
643,2002-10-09,1407
644,2002-10-10,1325
645,2002-10-11,1515
646,2002-10-12,1370
647,2002-10-13,1113
648,2002-10-14,1303
649,2002-10-15,1424
650,2002-10-16,1286
651,2002-10-17,1282
652,2002-10-18,1400
653,2002-10-19,1304
654,2002-10-20,1292
655,2002-10-21,1302
656,2002-10-22,1222
657,2002-10-23,1315
658,2002-10-24,1328
659,2002-10-25,1343
660,2002-10-26,1345
661,2002-10-27,1235
662,2002-10-28,1279
663,2002-10-29,1339
664,2002-10-30,1309
665,2002-10-31,1405
666,2002-11-01,1497
667,2002-11-02,1271
668,2002-11-03,1109
669,2002-11-04,1204
670,2002-11-05,1129
671,2002-11-06,1187
672,2002-11-07,1231
673,2002-11-08,1234
674,2002-11-09,1374
675,2002-11-10,1219
676,2002-11-11,1240
677,2002-11-12,1214
678,2002-11-13,1293
679,2002-11-14,1124
680,2002-11-15,1284
681,2002-11-16,1266
682,2002-11-17,1090
683,2002-11-18,1223
684,2002-11-19,1238
685,2002-11-20,1250
686,2002-11-21,1114
687,2002-11-22,1288
688,2002-11-23,1149
689,2002-11-24,1041
690,2002-11-25,1130
691,2002-11-26,1083
692,2002-11-27,1160
693,2002-11-28,803
694,2002-11-29,1058
695,2002-11-30,1067
696,2002-12-01,1250
697,2002-12-02,1167
698,2002-12-03,1112
699,2002-12-04,1164
700,2002-12-05,1153
701,2002-12-06,1276
702,2002-12-07,1202
703,2002-12-08,1061
704,2002-12-09,1254
705,2002-12-10,1300
706,2002-12-11,1274
707,2002-12-12,1338
708,2002-12-13,1454
709,2002-12-14,1248
710,2002-12-15,1240
711,2002-12-16,1240
712,2002-12-17,1278
713,2002-12-18,1180
714,2002-12-19,1317
715,2002-12-20,1360
716,2002-12-21,1279
717,2002-12-22,1146
718,2002-12-23,1144
719,2002-12-24,1054
720,2002-12-25,799
721,2002-12-26,947
722,2002-12-27,1073
723,2002-12-28,1162
724,2002-12-29,1094
725,2002-12-30,1276
726,2002-12-31,1190
727,2003-01-01,1810
728,2003-01-02,1154
729,2003-01-03,1286
730,2003-01-04,1149
731,2003-01-05,1078
732,2003-01-06,1225
733,2003-01-07,1178
734,2003-01-08,1292
735,2003-01-09,1308
736,2003-01-10,1209
737,2003-01-11,1081
738,2003-01-12,1004
739,2003-01-13,1081
740,2003-01-14,1124
741,2003-01-15,1202
742,2003-01-16,1211
743,2003-01-17,1256
744,2003-01-18,1097
745,2003-01-19,979
746,2003-01-20,1117
747,2003-01-21,1122
748,2003-01-22,1117
749,2003-01-23,1025
750,2003-01-24,1164
751,2003-01-25,1117
752,2003-01-26,876
753,2003-01-27,1103
754,2003-01-28,1121
755,2003-01-29,1108
756,2003-01-30,1187
757,2003-01-31,1181
758,2003-02-01,1384
759,2003-02-02,1143
760,2003-02-03,1194
761,2003-02-04,1107
762,2003-02-05,1135
763,2003-02-06,1206
764,2003-02-07,1158
765,2003-02-08,1026
766,2003-02-09,1020
767,2003-02-10,1217
768,2003-02-11,1081
769,2003-02-12,992
770,2003-02-13,1177
771,2003-02-14,1256
772,2003-02-15,1071
773,2003-02-16,1081
774,2003-02-17,1068
775,2003-02-18,1205
776,2003-02-19,1235
777,2003-02-20,1247
778,2003-02-21,1332
779,2003-02-22,1118
780,2003-02-23,1089
781,2003-02-24,1128
782,2003-02-25,1051
783,2003-02-26,1222
784,2003-02-27,1200
785,2003-02-28,1277
786,2003-03-01,1436
787,2003-03-02,1054
788,2003-03-03,1233
789,2003-03-04,1141
790,2003-03-05,1001
791,2003-03-06,1115
792,2003-03-07,1349
793,2003-03-08,1147
794,2003-03-09,965
795,2003-03-10,1200
796,2003-03-11,1316
797,2003-03-12,1334
798,2003-03-13,1310
799,2003-03-14,1454
800,2003-03-15,1339
801,2003-03-16,1255
802,2003-03-17,1323
803,2003-03-18,1250
804,2003-03-19,1283
805,2003-03-20,1192
806,2003-03-21,1261
807,2003-03-22,1208
808,2003-03-23,1285
809,2003-03-24,1201
810,2003-03-25,1359
811,2003-03-26,1325
812,2003-03-27,1402
813,2003-03-28,1170
814,2003-03-29,1174
815,2003-03-30,1179
816,2003-03-31,1305
817,2003-04-01,1591
818,2003-04-02,1355
819,2003-04-03,1287
820,2003-04-04,1244
821,2003-04-05,1109
822,2003-04-06,1143
823,2003-04-07,1158
824,2003-04-08,1268
825,2003-04-09,1361
826,2003-04-10,1450
827,2003-04-11,1333
828,2003-04-12,1380
829,2003-04-13,1273
830,2003-04-14,1347
831,2003-04-15,1435
832,2003-04-16,1364
833,2003-04-17,1200
834,2003-04-18,1338
835,2003-04-19,1360
836,2003-04-20,1232
837,2003-04-21,1270
838,2003-04-22,1308
839,2003-04-23,1374
840,2003-04-24,1347
841,2003-04-25,1435
842,2003-04-26,1323
843,2003-04-27,1277
844,2003-04-28,1440
845,2003-04-29,1359
846,2003-04-30,1304
847,2003-05-01,1334
848,2003-05-02,1355
849,2003-05-03,1171
850,2003-05-04,1107
851,2003-05-05,1411
852,2003-05-06,1384
853,2003-05-07,1426
854,2003-05-08,1286
855,2003-05-09,1386
856,2003-05-10,1337
857,2003-05-11,1110
858,2003-05-12,1349
859,2003-05-13,1348
860,2003-05-14,1288
861,2003-05-15,1432
862,2003-05-16,1504
863,2003-05-17,1344
864,2003-05-18,1215
865,2003-05-19,1381
866,2003-05-20,1389
867,2003-05-21,1334
868,2003-05-22,1335
869,2003-05-23,1383
870,2003-05-24,1342
871,2003-05-25,1282
872,2003-05-26,1169
873,2003-05-27,1389
874,2003-05-28,1279
875,2003-05-29,1301
876,2003-05-30,1419
877,2003-05-31,1271
878,2003-06-01,1450
879,2003-06-02,1375
880,2003-06-03,1365
881,2003-06-04,1335
882,2003-06-05,1251
883,2003-06-06,1406
884,2003-06-07,1349
885,2003-06-08,1287
886,2003-06-09,1356
887,2003-06-10,1485
888,2003-06-11,1278
889,2003-06-12,1300
890,2003-06-13,1333
891,2003-06-14,1318
892,2003-06-15,1293
893,2003-06-16,1263
894,2003-06-17,1229
895,2003-06-18,1189
896,2003-06-19,1311
897,2003-06-20,1444
898,2003-06-21,1284
